"","Gene","Product"
"171","CNAG_00164","hypothetical protein"
"172","CNAG_00165","methylthioadenosine phosphorylase"
"173","CNAG_00166","ATP-dependent RNA helicase DBP8"
"174","CNAG_00167","hypothetical protein"
"175","CNAG_00171","peroxin-2"
"176","CNAG_00172","kinesin"
"177","CNAG_00173","hypothetical protein"
"178","CNAG_00174","hypothetical protein"
"179","CNAG_00175","hypothetical protein"
"180","CNAG_00176","glutamate carboxypeptidase"
"181","CNAG_00176","glutamate carboxypeptidase, variant"
"182","CNAG_00177","hypothetical protein"
"183","CNAG_00178","DNA repair protein REV1"
"184","CNAG_00179","guanine nucleotide-binding protein subunit alpha, variant"
"185","CNAG_00179","guanine nucleotide-binding protein subunit alpha"
"186","CNAG_00180","ubiquitin carboxyl-terminal hydrolase L3"
"187","CNAG_00181","macrophage erythroblast attacher isoform 1"
"188","CNAG_00182","retrograde transporter"
"189","CNAG_00182","retrograde transporter, variant"
"190","CNAG_00183","alternative cyclin Pcl12, variant"
"191","CNAG_00183","alternative cyclin Pcl12"
"192","CNAG_00184","pre-mRNA cleavage complex 2 protein Pcf11"
"193","CNAG_00185","hypothetical protein"
"194","CNAG_00186","mitotic spindle organizing protein 1"
"195","CNAG_00187","ubiquitin carboxyl-terminal hydrolase 1"
"196","CNAG_00188","endoplasmic reticulum protein"
"197","CNAG_00189","hypothetical protein"
"198","CNAG_00190","hypothetical protein"
"199","CNAG_00191","etoposide-induced protein"
"200","CNAG_00192","hypothetical protein"
"201","CNAG_00193","GATA type zinc finger protein asd-4"
"202","CNAG_00194","hypothetical protein"
"203","CNAG_00195","exosome complex protein LRP1"
"204","CNAG_00229","hypothetical protein"
"205","CNAG_00231","hypothetical protein"
"206","CNAG_00232","large subunit ribosomal protein L30e"
"207","CNAG_00233","chaperone protein"
"208","CNAG_00234","tRNA-dihydrouridine synthase 4"
"209","CNAG_00235","amt family ammonium transporter"
"210","CNAG_00236","8-amino-7-oxononanoate synthase"
"211","CNAG_00237","3-isopropylmalate dehydratase, large subunit"
"212","CNAG_00238","isoleucine-tRNA ligase"
"213","CNAG_00239","hypothetical protein"
"214","CNAG_00240","hypothetical protein"
"215","CNAG_00241","protein AIR1/2"
"216","CNAG_00242","hypothetical protein"
"217","CNAG_00243","hypothetical protein"
"218","CNAG_00246","hypothetical protein"
"219","CNAG_00247","alpha-aminoadipic semialdehyde synthase"
"220","CNAG_00248","ESCRT-II complex subunit VPS36"
"221","CNAG_00249","hypothetical protein"
"222","CNAG_00250","hypothetical protein"
"223","CNAG_00251","hypothetical protein"
"224","CNAG_00252","transcription elongation factor B, polypeptide 1, variant"
"225","CNAG_00252","transcription elongation factor B, polypeptide 1"
"226","CNAG_00253","hypothetical protein"
"227","CNAG_00254","NADH dehydrogenase"
"228","CNAG_00255","hypothetical protein"
"229","CNAG_00256","aspartate-semialdehyde dehydrogenase"
"230","CNAG_00257","kinesin family member 21A, variant"
"231","CNAG_00257","kinesin family member 21A"
"232","CNAG_00258","hypothetical protein"
"233","CNAG_00259","bud site selection protein"
"234","CNAG_00260","transformer-2 protein"
"235","CNAG_00261","hypothetical protein"
"236","CNAG_00262","hypothetical protein"
"237","CNAG_00262","hypothetical protein, variant"
"238","CNAG_00263","serine/threonine/tyrosine-interacting protein"
"239","CNAG_00264","nuclease I"
"240","CNAG_00264","nuclease I, variant"
"241","CNAG_00265","isopentenyl-diphosphate delta-isomerase"
"242","CNAG_00266","hypothetical protein"
"243","CNAG_00267","hypothetical protein"
"244","CNAG_00268","acetolactate synthase, mitochondrial"
"245","CNAG_00269","sorbitol dehydrogenase"
"246","CNAG_00270","mitochondrial protein"
"247","CNAG_00271","INO80 complex subunit C"
"248","CNAG_00272","hypothetical protein"
"249","CNAG_00273","hypothetical protein"
"250","CNAG_00274","hypothetical protein"
"251","CNAG_00275","hypothetical protein"
"252","CNAG_00276","hypothetical protein"
"253","CNAG_00277","hypothetical protein"
"254","CNAG_00278","methionine aminopeptidase, type I"
"255","CNAG_00279","hypothetical protein"
"256","CNAG_00280","complement component 1 Q subcomponent-binding protein, mitochondrial"
"257","CNAG_00283","hypothetical protein"
"258","CNAG_00284","efflux protein EncT, variant"
"259","CNAG_00284","efflux protein EncT"
"260","CNAG_00285","hypothetical protein"
"261","CNAG_00286","hypothetical protein"
"262","CNAG_00287","cytoplasmic protein"
"263","CNAG_00288","oligoribonuclease"
"264","CNAG_00289","hypothetical protein"
"265","CNAG_00290","aminopeptidase"
"266","CNAG_00291","hypothetical protein"
"267","CNAG_00292","zinc finger protein"
"268","CNAG_00293","Ras-like protein"
"269","CNAG_00294","splicing factor 45"
"270","CNAG_00295","hypothetical protein"
"271","CNAG_00299","DNA repair protein RAD5"
"272","CNAG_00300","gamma-tubulin complex component 2"
"273","CNAG_00301","hypothetical protein"
"274","CNAG_00302","hypothetical protein"
"275","CNAG_00303","high-affinity nicotinic acid transporter"
"276","CNAG_00303","high-affinity nicotinic acid transporter, variant"
"277","CNAG_00304","hypothetical protein"
"278","CNAG_00305","chaperone activator"
"279","CNAG_00305","chaperone activator, variant"
"280","CNAG_00306","hypothetical protein"
"281","CNAG_00307","hypothetical protein"
"282","CNAG_00308","gly-X carboxypeptidase"
"283","CNAG_00309","membrane protein"
"284","CNAG_00310","origin recognition complex subunit 5"
"285","CNAG_00311","3-hydroxyisobutyryl-CoA hydrolase"
"286","CNAG_00312","synaptobrevin"
"287","CNAG_00313","hypothetical protein"
"288","CNAG_00314","hypothetical protein"
"289","CNAG_00315","HHE domain-containing protein"
"290","CNAG_00316","RdgB/HAM1 family non-canonical purine NTP pyrophosphatase"
"291","CNAG_00317","hypothetical protein"
"292","CNAG_00318","arp2/3 complex 16 kda subunit"
"293","CNAG_00319","hypothetical protein"
"294","CNAG_00319","hypothetical protein, variant"
"295","CNAG_00320","anaphase-promoting complex subunit 3"
"296","CNAG_00321","dRaptor"
"297","CNAG_00322","hypothetical protein"
"298","CNAG_00323","hypothetical protein"
"299","CNAG_00326","hypothetical protein"
"300","CNAG_00327","DASH complex subunit DAD2"
"301","CNAG_00328","DNA excision repair protein ERCC-5"
"302","CNAG_00329","NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8"
"303","CNAG_00330","transcription factor TFIIIB component b''"
"304","CNAG_00331","anon-23da protein"
"305","CNAG_00332","hypothetical protein"
"306","CNAG_00333","hypothetical protein"
"307","CNAG_00334","hsp75-like protein"
"308","CNAG_00335","hypothetical protein"
"309","CNAG_00337","hypothetical protein"
"310","CNAG_00342","hypothetical protein"
"311","CNAG_00343","hypothetical protein"
"312","CNAG_00344","hypothetical protein"
"313","CNAG_00345","porphobilinogen synthase"
"314","CNAG_00346","hypothetical protein"
"315","CNAG_00347","DEAH box polypeptide 36"
"316","CNAG_00348","hypothetical protein"
"317","CNAG_00349","hypothetical protein"
"318","CNAG_00351","hypothetical protein"
"319","CNAG_00352","A1 cistron-splicing factor AAR2"
"320","CNAG_00353","3-oxo-5-alpha-steroid 4-dehydrogenase 1"
"321","CNAG_00354","vacuolar protein 8"
"322","CNAG_00355","hypothetical protein"
"323","CNAG_00356","survival factor 1"
"324","CNAG_00357","ribonuclease HI"
"325","CNAG_00357","ribonuclease HI, variant"
"326","CNAG_00358","tRNA dimethylallyltransferase"
"327","CNAG_00358","tRNA dimethylallyltransferase, variant"
"328","CNAG_00359","hypothetical protein"
"329","CNAG_00360","nuclear protein SNF4, variant"
"330","CNAG_00360","nuclear protein SNF4"
"331","CNAG_00361","hypothetical protein"
"332","CNAG_00362","hypothetical protein"
"333","CNAG_00363","two-component system sensor protein"
"334","CNAG_00364","tRNA threonylcarbamoyladenosine biosynthesis protein"
"335","CNAG_00365","lysophospholipid acyltransferase"
"336","CNAG_00366","hypothetical protein"
"337","CNAG_00367","dynactin 5"
"338","CNAG_00368","vacuolar-sorting protein 53 long isoform"
"339","CNAG_00369","hypothetical protein"
"340","CNAG_00370","polyubiquitin"
"341","CNAG_00371","methylglutaconyl-CoA hydratase"
"342","CNAG_00372","chromatin structure-remodeling complex protein RSC7"
"343","CNAG_00373","glucan 1,3-beta-glucosidase"
"344","CNAG_00374","hypothetical protein"
"345","CNAG_00375","histone acetyltransferase"
"346","CNAG_00377","DNA topoisomerase II"
"347","CNAG_00377","DNA topoisomerase II, variant"
"348","CNAG_00378","hypothetical protein"
"349","CNAG_00383","phospholipid-transporting ATPase"
"350","CNAG_00384","RAD51-like protein 2"
"351","CNAG_00385","20S proteasome subunit beta 3"
"352","CNAG_00386","translation initiation factor 4G"
"353","CNAG_00387","hypothetical protein"
"354","CNAG_00388","1-phosphatidylinositol-4-phosphate 5-kinase"
"355","CNAG_00389","mitochondrial protein"
"356","CNAG_00390","myotubularin"
"357","CNAG_00391","hypothetical protein"
"358","CNAG_00392","kelch repeat-containing protein, variant"
"359","CNAG_00392","kelch repeat-containing protein"
"360","CNAG_00393","1,4-alpha-glucan-branching enzyme"
"361","CNAG_00394","diphthamide biosynthesis protein 3"
"362","CNAG_00395","structure-specific endonuclease subunit SLX1"
"363","CNAG_00396","AGC/PKA protein kinase"
"364","CNAG_00397","2-oxoisovalerate dehydrogenase E1 component, beta subunit"
"365","CNAG_00398","hypothetical protein"
"366","CNAG_00399","transformer-2-beta isoform 3"
"367","CNAG_00400","secondary thiamine-phosphate synthase enzyme"
"368","CNAG_00400","secondary thiamine-phosphate synthase enzyme, variant"
"369","CNAG_00401","phosphatidylinositol glycan, class U"
"370","CNAG_00402","translation initiation factor 4G"
"371","CNAG_00403","mitochondrial protein"
"372","CNAG_00404","RING zinc finger protein"
"373","CNAG_00405","STE/STE20/YSK protein kinase"
"374","CNAG_00406","hypothetical protein"
"375","CNAG_00407","glyoxal oxidase"
"376","CNAG_00408","serine/threonine-protein phosphatase PP-X isozyme 1"
"377","CNAG_00409","hypothetical protein"
"378","CNAG_00410","hypothetical protein"
"379","CNAG_00411","nucleoporin p58/p45"
"380","CNAG_00413","nuclear protein"
"381","CNAG_00414","hypothetical protein"
"382","CNAG_00415","CMGC/CDK protein kinase"
"383","CNAG_00416","f-box/wd-repeat protein lin-23"
"384","CNAG_00417","elongation factor 1-gamma"
"385","CNAG_00418","S-adenosylmethionine synthase"
"386","CNAG_00419","DNA polymerase beta subunit"
"387","CNAG_00420","dolichyl-phosphate mannosyltransferase polypeptide 3"
"388","CNAG_00421","charged multivesicular body protein 3"
"389","CNAG_00422","hypothetical protein, variant"
"390","CNAG_00422","hypothetical protein"
"391","CNAG_00423","kinetochore protein Spc24, fungi type"
"392","CNAG_00424","choline-phosphate cytidylyltransferase"
"393","CNAG_00425","hypothetical protein"
"394","CNAG_00426","UBA/TS-N domain-containing protein"
"395","CNAG_00427","type 2C protein Phosphatase"
"396","CNAG_00428","hypothetical protein"
"397","CNAG_00429","tRNA-dihydrouridine synthase 1"
"398","CNAG_00430","hypothetical protein"
"399","CNAG_00433","hypothetical protein"
"400","CNAG_00434","arginine N-methyltransferase 2"
"401","CNAG_00435","hypothetical protein"
"402","CNAG_00436","palmitoyltransferase AKR1"
"403","CNAG_00437","anaphase-promoting complex subunit 11"
"404","CNAG_00438","hypothetical protein"
"405","CNAG_00439","hypothetical protein"
"406","CNAG_00440","cyclin C"
"407","CNAG_00441","inosine-5'-monophosphate dehydrogenase"
"408","CNAG_00442","cyclin"
"409","CNAG_00443","hypothetical protein"
"410","CNAG_00444","hypothetical protein"
"411","CNAG_00445","hypothetical protein"
"412","CNAG_00446","hypothetical protein"
"413","CNAG_00447","T-complex protein 1 subunit beta"
"414","CNAG_00448","V-type H -transporting ATPase subunit AC39"
"415","CNAG_00449","RNA-binding protein NOB1"
"416","CNAG_00449","RNA-binding protein NOB1, variant"
"417","CNAG_00450","3-isopropylmalate dehydrogenase"
"418","CNAG_00451","cytoplasmic protein"
"419","CNAG_00452","isovaleryl-CoA dehydrogenase"
"420","CNAG_00453","mitochondrial protein"
"421","CNAG_00454","hypothetical protein"
"422","CNAG_00455","ubiquitin carboxyl-terminal hydrolase Ubp16"
"423","CNAG_00456","hypothetical protein"
"424","CNAG_00457","glutamine synthetase, variant"
"425","CNAG_00457","glutamine synthetase"
"426","CNAG_00458","hypothetical protein"
"427","CNAG_00458","hypothetical protein, variant"
"428","CNAG_00460","hypothetical protein"
"429","CNAG_00461","protein kinase C substrate 80K-H"
"430","CNAG_00462","electron-transferring-flavoprotein dehydrogenase"
"431","CNAG_00463","hypothetical protein"
"432","CNAG_00464","pre-mRNA-splicing factor RSE1"
"433","CNAG_00465","hypothetical protein"
"434","CNAG_00466","adaptin ear-binding coat-associated protein 2"
"435","CNAG_00467","hypothetical protein"
"436","CNAG_00467","hypothetical protein, variant"
"437","CNAG_00468","hypothetical protein"
"438","CNAG_00469","endoplasmic reticulum protein"
"439","CNAG_00470","charged multivesicular body protein 1"
"440","CNAG_00471","mitochondrial protein"
"441","CNAG_00472","hypothetical protein"
"442","CNAG_00473","oligosaccharyltransferase complex subunit epsilon"
"443","CNAG_00474","hypothetical protein"
"444","CNAG_00475","WSC domain-containing protein"
"445","CNAG_00476","hypothetical protein"
"446","CNAG_00480","hypothetical protein"
"447","CNAG_00481","hypothetical protein"
"448","CNAG_00482","26S proteasome regulatory subunit N10"
"449","CNAG_00483","actin"
"450","CNAG_00484","2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase)"
"451","CNAG_00485","hypothetical protein"
"452","CNAG_00486","succinate dehydrogenase assembly factor 2, mitochondrial"
"453","CNAG_00487","hypothetical protein"
"454","CNAG_00488","hypothetical protein"
"455","CNAG_00488","hypothetical protein, variant"
"456","CNAG_00490","acetyl-CoA acyltransferase"
"457","CNAG_00491","hypothetical protein"
"458","CNAG_00492","hypothetical protein"
"459","CNAG_00493","hypothetical protein"
"460","CNAG_00495","hypothetical protein"
"461","CNAG_00496","hypothetical protein"
"462","CNAG_00497","hypothetical protein"
"463","CNAG_00498","cell division cycle protein 14"
"464","CNAG_00499","solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20/29"
"465","CNAG_00500","protein phosphatase"
"466","CNAG_00501","hypothetical protein"
"467","CNAG_00502","large subunit ribosomal protein L35"
"468","CNAG_00503","hypothetical protein"
"469","CNAG_00504","peptidyl-prolyl cis-trans isomerase-like 4"
"470","CNAG_00505","hypothetical protein"
"471","CNAG_00506","hypothetical protein"
"472","CNAG_00508","vacuolar protein sorting-associated protein vps17"
"473","CNAG_00509","translation initiation factor 3 subunit M"
"474","CNAG_00510","prefoldin subunit 2"
"475","CNAG_00511","hypothetical protein"
"476","CNAG_00512","mitochondrial carrier protein"
"477","CNAG_00513","nucleolar protein 53"
"478","CNAG_00514","hypothetical protein"
"479","CNAG_00515","mannitol dehydrogenase"
"480","CNAG_00515","mannitol dehydrogenase, variant"
"481","CNAG_00516","peroxin-7"
"482","CNAG_00517","hypothetical protein"
"483","CNAG_00519","lathosterol oxidase"
"484","CNAG_00520","hypothetical protein"
"485","CNAG_00521","hypothetical protein"
"486","CNAG_00522","C2 domain-containing protein, variant"
"487","CNAG_00522","C2 domain-containing protein"
"488","CNAG_00523","hypothetical protein, variant"
"489","CNAG_00523","hypothetical protein"
"490","CNAG_00524","acetyl-CoA acyltransferase 2"
"491","CNAG_00525","dynein light intermediate chain 1, cytosolic"
"492","CNAG_00526","hypothetical protein"
"493","CNAG_00527","translation initiation factor eIF-2B subunit epsilon"
"494","CNAG_00528","WD-repeat protein 23"
"495","CNAG_00529","sulfite transporter"
"496","CNAG_00531","potassium/sodium efflux P-type ATPase, fungal-type"
"497","CNAG_00532","hypothetical protein"
"498","CNAG_00533","mitochondrial import inner membrane translocase subunit TIM50"
"499","CNAG_00534","hypothetical protein"
"500","CNAG_00535","large subunit ribosomal protein L16"
"501","CNAG_00536","hypothetical protein"
"502","CNAG_00536","hypothetical protein, variant"
"503","CNAG_00537","carnitine O-acetyltransferase"
"504","CNAG_00538","hypothetical protein"
"505","CNAG_00539","membrane transporter"
"506","CNAG_00540","pantothenate transporter"
"507","CNAG_00541","dimethylaniline monooxygenase"
"508","CNAG_00542","salicylate hydroxylase"
"509","CNAG_00543","hypothetical protein"
"510","CNAG_00544","hypothetical protein"
"511","CNAG_00545","cohesin loading factor subunit SCC2"
"512","CNAG_00546","chitin synthase"
"513","CNAG_00547","hypothetical protein"
"514","CNAG_00549","hypothetical protein, variant"
"515","CNAG_00549","hypothetical protein"
"516","CNAG_00550","DNA mismatch repair protein MSH5"
"517","CNAG_00551","poly(A) polymerase"
"518","CNAG_00554","inositol phosphorylsphingolipid-phospholipase C"
"519","CNAG_00555","hypothetical protein, variant"
"520","CNAG_00555","hypothetical protein"
"521","CNAG_00556","CK1/CK1/CK1-G protein kinase"
"522","CNAG_00556","CK1/CK1/CK1-G protein kinase, variant"
"523","CNAG_00557","U6 snRNA-associated Sm-like protein LSm8"
"524","CNAG_00558","hypothetical protein"
"525","CNAG_00559","hypothetical protein"
"526","CNAG_00560","V-type H -transporting ATPase subunit E"
"527","CNAG_00561","histone acetyltransferase type B catalytic subunit"
"528","CNAG_00562","hypothetical protein"
"529","CNAG_00563","hypothetical protein"
"530","CNAG_00564","hypothetical protein"
"531","CNAG_00565","dynamin GTPase"
"532","CNAG_00566","DNA ligase 1"
"533","CNAG_00567","WD40 repeat protein"
"534","CNAG_00568","hypothetical protein"
"535","CNAG_00569","GTP cyclohydrolase II"
"536","CNAG_00570","cAMP-dependent protein kinase regulator"
"537","CNAG_00571","hypothetical protein"
"538","CNAG_00572","DNA excision repair protein ERCC-2"
"539","CNAG_00573","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 6"
"540","CNAG_00574","amino acid/metabolite permease"
"541","CNAG_00574","amino acid/metabolite permease, variant"
"542","CNAG_00576","mitochondrial protein"
"543","CNAG_00577","hypothetical protein"
"544","CNAG_00580","translation initiation factor IF-2"
"545","CNAG_00581","saccharopepsin"
"546","CNAG_00582","vacuolar transporter chaperone 1"
"547","CNAG_00583","hypothetical protein"
"548","CNAG_00584","profilin"
"549","CNAG_00585","hypothetical protein"
"550","CNAG_00586","hypothetical protein"
"551","CNAG_00587","hypothetical protein"
"552","CNAG_00588","hypothetical protein"
"553","CNAG_00589","5-formyltetrahydrofolate cyclo-ligase"
"554","CNAG_00590","para-aminobenzoate synthetase"
"555","CNAG_00591","hypothetical protein"
"556","CNAG_00592","dolichol-phosphate mannosyltransferase"
"557","CNAG_00593","hypothetical protein, variant"
"558","CNAG_00593","hypothetical protein"
"559","CNAG_00594","lipid particle protein"
"560","CNAG_00595","hypothetical protein"
"561","CNAG_00596","hypothetical protein"
"562","CNAG_00597","amino acid transporter, variant"
"563","CNAG_00597","amino acid transporter"
"564","CNAG_00598","nicotinamide mononucleotide permease"
"565","CNAG_00599","anion transporter"
"566","CNAG_00600","capsular associated protein"
"567","CNAG_00601","glycosyl hydrolase"
"568","CNAG_00602","translation initiation factor 3 subunit I"
"569","CNAG_00603","pre-rRNA-processing protein PNO1"
"570","CNAG_00604","hypothetical protein"
"571","CNAG_00605","cytoplasmic protein"
"572","CNAG_00606","transcription initiation factor TFIID subunit 7"
"573","CNAG_00607","hypothetical protein"
"574","CNAG_00608","hypothetical protein"
"575","CNAG_00609","hypothetical protein"
"576","CNAG_00612","DNA excision repair protein ERCC-3"
"577","CNAG_00613","cytosine deaminase"
"578","CNAG_00614","hypothetical protein"
"579","CNAG_00615","hypothetical protein"
"580","CNAG_00619","tubulin folding cofactor C"
"581","CNAG_00622","acetylornithine aminotransferase"
"582","CNAG_00623","cytoplasmic protein"
"583","CNAG_00624","hypothetical protein"
"584","CNAG_00625","ARF guanyl-nucleotide exchange factor"
